id,parola_target,parola_vietata1,parola_vietata2,parola_vietata3,parola_vietata4,parola_vietata5
77,CLOUDS,SKY,WHITE,WEATHER,RAIN,SHAPE
78,SCHOOL,TEACHER,STUDENTS,LESSONS,HOMEWORK,CLASS
79,TELEVISION,SCREEN,PROGRAMS,WATCH,CHANNEL,REMOTE
80,SNOW,COLD,WHITE,WINTER,FLAKES,SKI
81,FOREST,TREES,GREEN,NATURE,WOODS,ANIMALS
82,CITY,BUILDINGS,STREETS,TRAFFIC,SUBWAY,INHABITANTS
83,THEATER,SHOW,STAGE,ACTORS,AUDIENCE,CURTAIN
84,CAKE,SWEET,BIRTHDAY,OVEN,SLICE,SUGAR
85,MAKEUP,COSMETICS,LIPSTICK,FOUNDATION,EYES,FACE
86,PERFUME,FRAGRANCE,SMELL,SPRAY,ESSENCE,BOTTLE
87,NEWSPAPER,NEWS,READ,DAILY,ARTICLES,INFORMATION
88,CONCERT,MUSIC,STAGE,ARTIST,AUDIENCE,SING
89,CARTOON,ANIMATED,CHILDREN,DRAWING,CHARACTERS,DISNEY
90,WEDDING,SPOUSES,CEREMONY,RING,DRESS,CHURCH
91,SUGAR,SWEET,WHITE,COFFEE,TEA,SPOON
92,PASTA,ITALIAN,SPAGHETTI,SAUCE,COOK,DISH
93,CIGARETTE,SMOKE,TOBACCO,LIGHTER,FILTER,NICOTINE
94,SOFA,SIT,LIVING ROOM,RELAX,CUSHIONS,COMFORTABLE
95,SHOES,FEET,WALK,FOOTWEAR,LACES,SOLE
96,SCISSORS,CUT,PAPER,BLADES,METAL,TIP
97,KEY,DOOR,LOCK,OPEN,METAL,HOUSE
98,SHIRT,CLOTHING,BUTTONS,COLLAR,IRON,SLEEVES
99,WATCH,TIME,HOUR,WRIST,HANDS,DIAL
100,BOTTLE,GLASS,LIQUID,WATER,CAP,POUR
101,GLASSES,VISION,LENSES,FRAME,READ,SEE
102,TABLE,CHAIR,EAT,WOOD,FURNITURE,KITCHEN
103,WINDOW,GLASS,VIEW,LIGHT,OPEN,CURTAIN
104,DOOR,OPEN,CLOSE,ROOM,HANDLE,ENTER
105,EARRINGS,JEWELRY,LOBE,WEAR,BRILLIANT,PENDANT
106,CHOCOLATE,SWEET,COCOA,BAR,DARK,MILK
107,MILK,COW,WHITE,DRINK,BREAKFAST,CALCIUM
108,PISTOL,WEAPON,SHOOT,BULLET,DANGER,TRIGGER
109,MOTORCYCLE,BIKE,WHEELS,HELMET,SPEED,DRIVE
110,RING,FINGER,GOLD,ENGAGEMENT,JEWEL,MARRIAGE
111,LIGHT BULB,LIGHT,TURN ON,ELECTRICITY,ILLUMINATE,EDISON
112,PENCIL,WRITE,DRAW,WOOD,TIP,ERASER
113,LEAF,TREE,GREEN,PLANT,AUTUMN,FALL
114,SMILE,HAPPINESS,MOUTH,TEETH,JOY,LIPS
115,UMBRELLA,RAIN,OPEN,PROTECT,FOLD,HANDLE
116,NEEDLE,SEW,THREAD,TIP,THIN,METAL
117,NOSE,FACE,SMELL,BREATHE,FEEL,SCENT
118,PANTS,JEANS,LEG,WEAR,BELT,CLOTHING
119,DUCK,BIRD,WATER,POND,BEAK,QUACK
120,SHADOW,DARK,LIGHT,SILHOUETTE,SUN,PROJECTION
121,FLAG,NATION,COLORS,SYMBOL,WAVE,POLE
122,TOOTHBRUSH,TEETH,WASH,HYGIENE,MOUTH,PASTE
123,PEN,WRITE,INK,PAPER,BALLPOINT,SIGNATURE
124,CHAIR,SIT,LEGS,BACK,FURNITURE,TABLE
125,AIRPORT,FLIGHTS,DEPARTURE,ARRIVAL,PASSENGERS,TERMINAL
126,BANK,MONEY,ACCOUNT,COUNTER,TELLER,LOAN
127,STAR,SKY,NIGHT,BRIGHT,SPACE,DOT
128,HAIRDRESSER,HAIR,CUT,SCISSORS,COMB,HAIRSTYLE
129,OFFICE,WORK,DESK,COMPUTER,COLLEAGUES,MEETING
130,BED,SLEEP,MATTRESS,PILLOW,NIGHT,REST
131,DRINK,BEVERAGE,BOTTLE,FIZZY,THIRST,COLD
132,TICKET,TRAIN,PAY,JOURNEY,VALIDATE,TRANSPORT
133,PILLOW,BED,SOFT,SLEEP,REST,HEAD
134,WALLET,MONEY,POCKET,CARDS,CASH,DOCUMENTS
135,MAKEUP,FACE,COSMETICS,LIPSTICK,BEAUTY,COSMETICS
136,DRUM,BATTERY,PLAY,PERCUSSION,RHYTHM,STICKS
137,TENNIS,RACKET,BALL,COURT,NET,SPORT
138,CALENDAR,DAYS,MONTHS,YEAR,DATE,APPOINTMENTS
139,DENTIST,TEETH,OFFICE,CAVITY,CHECK,FEAR
140,BACKPACK,SHOULDERS,SCHOOL,TRIP,BAG,CARRY
141,GIRAFFE,NECK,LONG,AFRICA,ANIMAL,SPOTS
142,PLANET,EARTH,SPACE,ORBIT,SYSTEM,SOLAR
143,POOL,SWIM,WATER,SUMMER,DIVE,LIFEGUARD
144,DRAWER,FURNITURE,OPEN,STORE,PULL,CLOSE
145,SHEET,PAPER,WRITE,WHITE,NOTEBOOK,PRINTER
146,WASHING MACHINE,CLOTHES,WASH,LAUNDRY,DETERGENT,APPLIANCE
147,BROOM,CLEAN,FLOOR,HANDLE,DUST,SWEEP
148,DIAMOND,JEWEL,BRILLIANT,PRECIOUS,RING,CARATS
149,STAIRS,CLIMB,DESCEND,STEPS,HEIGHT,VERTICAL
150,CANDLE,WAX,FLAME,DARK,LIGHT,SCENTED
151,KEYBOARD,COMPUTER,WRITE,KEYS,TYPE,FINGERS
152,COAT,WINTER,COLD,JACKET,BUTTONS,COVER
153,CARROT,VEGETABLE,ORANGE,RABBIT,VEGGIE,VITAMIN
154,TIE,SHIRT,NECK,ELEGANT,KNOT,FORMAL
155,FRECKLES,FACE,SPOTS,SUN,SKIN,RED
156,SCREWDRIVER,SCREW,SCREW,TOOL,TIP,HANDLE
157,REFRIGERATOR,COLD,FOOD,KITCHEN,PRESERVE,APPLIANCE
158,PAINTING,PICTURE,FRAME,WALL,ART,MUSEUM
159,TATTOO,SKIN,DRAWING,PERMANENT,NEEDLE,INK
160,SPACE,UNIVERSE,PLANETS,STARS,VOID,ASTRONOMY
161,TOOTHPASTE,TEETH,WASH,PASTE,TUBE,TOOTHBRUSH
162,CUCUMBER,VEGETABLE,SALAD,GREEN,LONG,VEGGIE
163,SMOOTHIE,DRINK,FRUIT,MIXER,YOGURT,BLEND
164,BUTTERFLY,INSECT,FLY,WINGS,COLORFUL,CATERPILLAR
165,MICROPHONE,VOICE,SING,SPEAK,AUDIO,RECORD
166,BAND-AID,WOUND,COVER,ADHESIVE,MEDICATION,SMALL
167,T-SHIRT,WEAR,COTTON,CLOTHING,SLEEVES,SHIRT
168,FORK,EAT,CUTLERY,PRONGS,TABLE,KITCHEN
169,EYE,SEE,FACE,PUPIL,IRIS,VISION
170,POLICE,OFFICER,LAW,UNIFORM,SIREN,ORDER
171,TOY,CHILD,PLAY,FUN,PLASTIC,GIFT
172,TRAFFIC OFFICER,TRAFFIC,STREET,FINE,WHISTLE,MUNICIPAL
173,MAP,STREET,DIRECTION,ORIENTATION,GEOGRAPHY,CHART
174,RAINBOW,COLORS,RAIN,SUN,SKY,PHENOMENON
175,MASK,FACE,COVER,CARNIVAL,DISGUISE,HIDE
176,WHEEL,TURN,CIRCLE,CAR,BICYCLE,AXLE
177,PIGGY BANK,MONEY,SAVE,PIGLET,COINS,BREAK
178,SUITCASE,TRAVEL,CLOTHES,VACATION,LUGGAGE,HANDLE
179,LIPSTICK,LIPS,MAKEUP,COLOR,COSMETICS,WOMAN
180,HUNTER,RIFLE,FOREST,ANIMALS,GAME,AIM
181,SNAKE,REPTILE,CRAWL,POISON,SCALES,TONGUE
182,HANDCUFFS,POLICE,ARREST,WRISTS,METAL,CRIMINAL
183,ROCKET,SPACE,LAUNCH,ASTRONAUT,SPACECRAFT,FLY
184,HOT AIR BALLOON,FLY,AIR,BASKET,BALLOON,SKY
185,COMB,HAIR,HAIRSTYLE,TEETH,HAIRDRESSER,BRUSH
186,SOUP,HOT,SPOON,BROTH,BROTH,COOK
187,RADIO,LISTEN,MUSIC,FREQUENCY,ANTENNA,TRANSMISSION
188,TREE,LEAVES,TRUNK,BRANCHES,FOREST,NATURE
189,ONION,VEGETABLE,CRY,CUT,LAYERS,KITCHEN
190,PLUSH,SOFT,CHILDREN,TOY,TEDDY BEAR,FABRIC
191,KITE,FLY,WIND,STRING,SKY,COLORFUL
192,BEARD,FACE,MAN,SHAVE,HAIR,GROW
193,HONEY,BEES,SWEET,HIVE,BREAKFAST,YELLOW
194,BELL,RING,CHURCH,METAL,TOLL,BELL TOWER
195,BAG,CARRY,WOMAN,ACCESSORY,SHOULDER,CONTAIN
196,CANDLE,LIGHT,FLAME,WAX,LIGHT,ROMANTIC
197,CAGE,BARS,ANIMAL,CONFINE,PRISON,BIRD
198,SIREN,EMERGENCY,AMBULANCE,POLICE,SOUND,ALARM
199,MEADOW,GRASS,GREEN,FIELD,FLOWERS,NATURE
200,ARUGULA,SALAD,GREEN,BITTER,LEAVES,VEGETABLE
201,FLIP-FLOPS,SUMMER,FEET,SEA,BEACH,SLIPPERS
202,ICE,COLD,WATER,CUBES,FROZEN,FROST
203,KNEE,LEG,JOINT,PAIN,BEND,BODY
204,CAP,BOTTLE,CLOSE,OPEN,CORK,CONTAINER
205,CARPET,FLOOR,DECORATION,SOFT,CLEAN,COLORFUL
206,RIBBON,GIFT,PACKAGE,FABRIC,BOW,WRAP
207,WALNUT,FRUIT,SHELL,DRY,TREE,BREAK
208,COTTON,SOFT,FABRIC,WHITE,PLANT,NATURAL
209,JEWEL,PRECIOUS,GOLD,DIAMOND,WEAR,BRILLIANT
210,WAVE,SEA,WATER,SURF,MOVEMENT,BEACH
211,SUSHI,JAPANESE,RICE,FISH,RAW,CHOPSTICKS
212,LEAVES,TREE,GREEN,AUTUMN,FALL,PLANT
213,RAZOR,BEARD,CUT,BLADES,SHAVE,HAIR
214,LADYBUG,INSECT,RED,DOTS,LUCK,SMALL
215,FOSSIL,ANCIENT,DINOSAUR,EXCAVATION,HISTORY,STONE
216,SCAR,WOUND,SKIN,MARK,PERMANENT,HEALED
217,PUDDLE,WATER,RAIN,GROUND,WET,JUMP
218,NECKLACE,JEWEL,NECK,PENDANT,CHAIN,WEAR
219,MAGNET,MAGNETIC,ATTRACTION,FRIDGE,IRON,ATTACH
220,TRAFFIC LIGHT,STREET,RED,GREEN,TRAFFIC,CROSS
221,PADLOCK,CLOSE,KEY,SECURITY,METAL,CHAIN
222,MUSTACHE,FACE,MAN,LIP,HAIR,SHAVE
223,BANANA,FRUIT,YELLOW,PEEL,MONKEY,TROPICAL
224,GUITAR,INSTRUMENT,PLAY,STRINGS,MUSIC,ACOUSTIC
225,BOX,CONTAINER,CARDBOARD,STORE,GIFT,OPEN
226,DONUT,SWEET,HOLE,GLAZE,SUGAR,CHOCOLATE
227,GINGER,SPICE,HOT,ROOT,AROMA,KITCHEN
228,LIGHTNING,STORM,SKY,ELECTRICITY,FLASH,THUNDER
229,GIANT,BIG,HUGE,FAIRY TALE,HEIGHT,COLOSSAL
230,SHIPWRECK,SEA,SHIP,SINK,ISLAND,SURVIVE
231,SCREWDRIVER,SCREW,SCREW,TOOL,HANDLE,REPAIR
232,APRON,KITCHEN,COOK,PROTECT,CLOTHES,CHEF
233,PETAL,FLOWER,COLORFUL,ROSE,DELICATE,BLOOM
234,FOUNTAIN,WATER,SQUARE,SPOUT,COINS,WISH
235,CASTLE,MEDIEVAL,TOWER,NOBILITY,MOAT,STONE
236,FAN,SUMMER,AIR,COOL,BLADES,HOT
237,NEST,BIRD,EGGS,BRANCHES,TREE,BUILD
238,CONFETTI,PARTY,COLORFUL,THROW,CARNIVAL,PAPER
239,BONE,SKELETON,DOG,BODY,FRACTURE,HARD
240,OINTMENT,CREAM,APPLY,SKIN,MEDICINE,TUBE
241,PUPPET,DOLL,SHOW,STRINGS,MARIONETTE,WOOD
242,GRASSHOPPER,INSECT,JUMP,GREEN,LEGS,MEADOW
243,BORDER,COUNTRY,NATION,FRONTIER,PASSPORT,DIVIDE
244,HURRICANE,STORM,WIND,DEVASTATION,TROPICAL,CYCLONE
245,CEMETERY,GRAVES,DEAD,TOMBSTONES,FUNERALS,DECEASED
246,KNIFE,CUT,BLADE,KITCHEN,SHARP,CUTLERY
247,WILLOW,TREE,WEEPING,BRANCHES,WATER,LONG
248,FUR,ANIMAL,COAT,FUR,WARM,SOFT
249,HEDGEHOG,ANIMAL,SPINES,PRICKLY,SMALL,FOREST
250,WATERFALL,WATER,FALL,RIVER,HEIGHT,NATURE
251,HELICOPTER,FLY,BLADES,PILOT,SKY,LANDING
252,COMIC,DRAWING,DIALOGUE,STORY,BALLOON,PANELS
253,MUMMY,EGYPT,BANDAGES,PHARAOH,ANCIENT,TOMB
254,GRATER,CHEESE,KITCHEN,METAL,HOLES,SHRED
255,PIANO,INSTRUMENT,KEYS,MUSIC,PLAY,WHITE
256,CORAL,SEA,REEF,OCEAN,RED,MARINE
257,BATHROBE,BATHROOM,SHOWER,DRY,GOWN,TOWEL
258,TRUMPET,INSTRUMENT,WIND,BRASS,PLAY,JAZZ
259,BLUEBERRY,FRUIT,FOREST,BLUE,SMALL,SWEET
260,HAMMOCK,REST,TREES,SWING,RELAX,VACATION
261,MAT,YOGA,GYMNASTICS,EXERCISES,GYM,FLOOR
262,DOLPHIN,SEA,MAMMAL,SWIM,INTELLIGENT,AQUATIC
263,STAMP,LETTER,MAIL,COLLECTION,POSTAGE,RARE
264,BOOTS,RAIN,SHOES,FEET,WEAR,WINTER
265,CLOWN,CIRCUS,NOSE,RED,MAKEUP,FUNNY
266,BLACKBOARD,SCHOOL,CHALK,WRITE,BLACK,TEACHER
267,JAM,SWEET,FRUIT,BREAKFAST,JAR,BREAD
268,CORIANDER,SPICE,KITCHEN,SEEDS,AROMA,ETHNIC
269,PUZZLE,PIECES,FIT,COMPLETE,GAME,IMAGE
270,SHIELD,PROTECT,WARRIOR,DEFENSE,BATTLE,WEAPON
271,SLIDE,CHILDREN,PARK,PLAY,DESCENT,FUN
272,CRAB,SEA,CLAWS,SAND,WALK,CRUSTACEAN
273,HANGER,HANG,CLOTHES,DRESS,CLOSET,COAT HANGER
274,LIFE PRESERVER,SEA,FLOAT,POOL,SAFETY,RING
275,MANDARIN,FRUIT,CITRUS,PEEL,SEGMENTS,ORANGE
276,COMPASS,DIRECTION,NORTH,NAVIGATE,MAGNETIC,ORIENTATION
277,CICADA,INSECT,SUMMER,NOISE,SONG,TREE
278,PENGUIN,ICE,ANTARCTIC,WHITE,BLACK,BIRD
279,FOLDER,DOCUMENTS,SCHOOL,CONTAIN,SHEETS,OFFICE
280,MIRROR,REFLECTION,IMAGE,LOOK,GLASS,WALL
281,PAINT,COLOR,PAINT,WALL,BRUSH,BUCKET
282,FLOOR LAMP,LAMP,LIGHT,LIVING ROOM,ILLUMINATE,TALL
283,TABLECLOTH,TABLE,COVER,FABRIC,LUNCH,STAIN
284,ELEPHANT,BIG,TRUNK,TUSKS,ANIMAL,GRAY
285,SLINGSHOT,SHOOT,STONES,ELASTIC,AIM,THROW
286,SNAIL,SLOW,SHELL,SLIME,HORNS,GARDEN
287,FEATHER,BIRD,LIGHT,PEN,SOFT,FLYING
288,PEARLS,JEWELRY,NECKLACE,WHITE,OYSTER,PRECIOUS
289,MICROSCOPE,MAGNIFY,SCIENCE,LABORATORY,LENS,SMALL
290,BALLOON,INFLATE,AIR,COLORFUL,PARTY,POP
291,STAGE,THEATER,SHOW,ACTORS,PERFORM,AUDIENCE
292,KANGAROO,AUSTRALIA,JUMP,POUCH,ANIMAL,TAIL
293,PICNIC,MEADOW,EAT,OUTDOORS,BLANKET,BASKET
294,PARCHMENT,ANCIENT,WRITE,PAPER,SCROLL,DIPLOMA
295,FINS,SWIM,SEA,FEET,UNDERWATER,DIVING
296,GLOVES,HANDS,WINTER,COLD,FINGERS,PROTECT
297,REINDEER,CHRISTMAS,SANTA,SLEIGH,ANTLERS,POLE
298,MASK,FACE,HIDE,CARNIVAL,COVER,DISGUISE
299,LANTERN,LIGHT,DARK,FLAME,ILLUMINATE,CAMPING
300,FOX,CUNNING,RED,TAIL,ANIMAL,FOREST
301,MOSAIC,PIECES,ART,TILES,COLORFUL,IMAGE
302,BOAT,SEA,NAVIGATE,SAIL,WATER,PORT
303,TROMBONE,INSTRUMENT,WIND,BRASS,ORCHESTRA,PLAY
304,CAROUSEL,CHILDREN,TURN,HORSES,PARK,FUN
305,HOURGLASS,TIME,SAND,FLOW,MEASURE,GLASS
306,SAUNA,HOT,SWEAT,STEAM,RELAX,WOOD
307,DINOSAUR,EXTINCT,PREHISTORIC,BIG,REPTILE,FOSSIL
308,CORKSCREW,WINE,OPEN,BOTTLE,CORK,UTENSIL
309,PARACHUTE,JUMP,AIR,SKY,FALL,FLY
310,SUCTION CUP,ATTACH,SUCK,RUBBER,VACUUM,BATHROOM
311,FIREFLY,INSECT,LIGHT,NIGHT,BRIGHT,SUMMER
312,RICE FIELD,RICE,WATER,FIELD,CULTIVATE,ORIENT
313,SHIVER,COLD,FEAR,TREMBLE,SKIN,SENSATION
314,WALLPAPER,WALL,PAPER,DECORATE,HOUSE,PATTERN
315,SQUID,SEA,TENTACLES,MOLLUSK,INK,FISH
316,TURTLE,SLOW,SHELL,REPTILE,LONG-LIVED,SEA
317,GLOBE,EARTH,GEOGRAPHY,CONTINENTS,SPHERE,ROTATING
318,CONFETTI,PARTY,COLORFUL,THROW,PAPER,CARNIVAL
319,SPADES,CARDS,GAME,SYMBOL,BLACK,POKER
320,TILE,BATHROOM,FLOOR,CERAMIC,WALL,COVERING
321,BUTTON,PRESS,DEVICE,ACTIVATE,BUTTON,FINGER
322,RACKET,TENNIS,HIT,BALL,SPORT,COURT
323,LIFEGUARD,POOL,SAVE,SEA,BEACH,WATCH
324,HAMSTER,RODENT,CAGE,SMALL,ANIMAL,WHEEL
325,BINOCULARS,LOOK,FAR,LENSES,MAGNIFY,OBSERVE
326,TOASTER,BREAD,APPLIANCE,SLICES,HOT,BREAKFAST
327,OASIS,DESERT,WATER,PALMS,GREEN,REFUGE
328,SEWER,WATER,DRAIN,UNDERGROUND,MANHOLE,SEWAGE
329,LOBSTER,SEA,CLAWS,CRUSTACEAN,RED,COOK
330,PUMPKIN,HALLOWEEN,ORANGE,VEGETABLE,CARVE,GARDEN
331,PRINTER,COMPUTER,PAPER,INK,DOCUMENT,OFFICE
332,PAJAMAS,SLEEP,WEAR,NIGHT,COMFORTABLE,BED
333,THERMOMETER,FEVER,TEMPERATURE,MEASURE,MERCURY,DEGREES
334,PINWHEEL,WIND,TURN,COLORFUL,CHILDREN,BLOW
335,TOY,CHILDREN,FUN,PLASTIC,PLAY,GIFT
336,CUTTING BOARD,KITCHEN,CUT,WOOD,FOOD,KNIFE
337,CAVE,MOUNTAIN,DARK,GROTTO,ROCK,HIDEOUT
338,PLASTIC WRAP,WRAP,FOOD,TRANSPARENT,PRESERVE,KITCHEN
339,HAT,HEAD,WEAR,SUN,FASHION,PROTECT
340,LEMON,CITRUS,SOUR,YELLOW,FRUIT,JUICE
341,SWING,PARK,ROCK,CHILDREN,SEAT,ROPE
342,SCARF,NECK,WINTER,COLD,WOOL,WRAP
343,SALAD,VEGETABLE,LEAVES,RAW,DRESS,MIXED
344,KEYBOARD,COMPUTER,WRITE,TYPE,KEYS,FINGERS
345,NECKLACE,JEWEL,NECK,WEAR,CHAIN,PENDANT
346,SLIPPERS,FEET,HOUSE,COMFORTABLE,FOOTWEAR,BATHROOM
347,HAMMER,NAIL,HIT,TOOL,CARPENTER,METAL
348,BENCH,SIT,PARK,REST,WOOD,PUBLIC
349,SUNSET,SUN,EVENING,HORIZON,RED,SET
350,DAWN,SUN,MORNING,RISE,NEW,DAY
351,OWL,BIRD,NIGHT,WISE,EYES,RAPTOR
352,HANDLEBAR,BICYCLE,STEER,HANDS,STEERING,DIRECT
353,FIREPLACE,FIRE,HOUSE,WOOD,WINTER,WARM
354,CHERRY,FRUIT,RED,TREE,SWEET,STEM
355,TWEEZERS,EYEBROWS,EXTRACT,SMALL,METAL,GRASP
356,CAGE,BIRD,BARS,CONFINE,METAL,ANIMAL
357,SHOVEL,SAND,CHILDREN,DIG,SEA,CASTLE
358,HELMET,HEAD,PROTECTION,BIKE,SAFETY,FALL
359,PALM,TREE,TROPICAL,COCONUT,SEA,EXOTIC
360,COMPASS,DIRECTION,NAVIGATE,ORIENTATION,NORTH,MAGNETIC
361,VIOLIN,INSTRUMENT,BOW,MUSIC,STRINGS,CLASSICAL
362,RAINCOAT,RAIN,JACKET,PROTECTION,WATER,HOOD
363,BROOCH,JEWEL,PIN,METAL,CLOTHING,DECORATION
364,CANDY,SUGAR,SWEET,COLORFUL,CANDY,CRYSTALLIZED
365,BOW,GIFT,RIBBON,DECORATION,TIE,HAIR
366,POT,COOK,KITCHEN,LID,BOIL,FOOD
367,VAN,VEHICLE,TRANSPORT,BIG,GOODS,DRIVE
368,TIGER,FELINE,STRIPES,WILD,JUNGLE,ROAR
369,IGLOO,ICE,ESKIMOS,HOUSE,COLD,SNOW
370,BACKPACK,SCHOOL,SHOULDERS,CARRY,BAG,TRIP
371,WINDMILL,WIND,WHEAT,BLADES,FLOUR,ANCIENT
372,BALCONY,HOUSE,OUTSIDE,OVERLOOK,RAILING,WINDOW
373,BUTTERFLY,FLY,INSECT,WINGS,COLORFUL,CATERPILLAR
374,PADDLE,CANOE,ROW,WATER,NAVIGATE,MOVEMENTS
375,HUG,AFFECTION,ARMS,SQUEEZE,WARMTH,LOVE
376,HOURGLASS,TIME,SAND,FLOW,GLASS,MEASURE
377,MEDAL,PRIZE,METAL,WIN,COMPETITION,PODIUM
378,CHALK,BLACKBOARD,WRITE,SCHOOL,WHITE,TEACHER
379,ANCHOR,SHIP,SEA,BOTTOM,STOP,CHAIN
