id,parola_target,parola_vietata1,parola_vietata2,parola_vietata3,parola_vietata4,parola_vietata5
166,YARA,BANDI,YARA,ÖRTMEK,YAPIŞTIR,TEDAVİ,KÜÇÜK
167,TİŞÖRT,GİYMEK,PAMUK,GİYİM,KOL,TSHIRT
168,ÇATAL,YEMEK,TAKKIM,DİŞ,SOFRA,MUTFAK
169,GÖZ,GÖRMEK,YÜZ,GÖZBEB,İRİS,GÖRÜŞ
170,POLİS,MEMUR,KANUN,ÜNIFORMA,SİREN,DÜZEN
171,OYUNCAK,ÇOCUK,OYNAMAK,EĞLENCE,PLASTIK,HEDİYE
172,TRAFİK,POLIS,YOL,CEZA,DÜDÜKBELEDİYE
173,HARİTA,YOL,YÖN,ORYANTASYON,COĞRAFYA,KAĞIT
174,GÖKKUŞAĞI,RENK,YAĞMUR,GÜNEŞ,GÖKYÜZÜ,OLAY
175,MASKE,YÜZ,ÖRTMEK,KARNAVAL,KIYAFET,GİZLEMEK
176,TEKER,DÖNMEK,DAİRE,ARABA,BİSİKLET,EKSİZ
177,KUMBARA,PARA,BİRİKTİRMEK,DOMUZ,BOZUK,KIRMAK
178,BAVUL,SEYAHAT,GİYSİ,TATİL,BAGAJ,SAP
179,RUJ,DUDAK,MAKYAJ,RENK,SÜSLEME,KADIN
180,AVCI,TÜFEK,ORMAN,HAYVAN,AV,NİŞAN
181,YILAN,SÜRÜNGEN,SÜZÜLMEK,ZEHİR,PULLU,DİL
182,KELEPÇE,POLİS,TUTUKLAMA,BİLEK,METAL,SUÇLU
183,ROKET,UZAY,FIRLATMAK,ASTRONOT,GEMİ,UÇMAK
184,BALON,UÇMAK,HAVA,SEPET,BALON,GÖKYÜZÜ
185,TARAK,SAÇ,ŞEKİL,DIŞ,KUAFÖR,FIRÇA
186,ÇORBA,SICAK,KAŞIK,SUYU,ÇORBA,PİŞİRMEK
187,RADYO,DİNLEMEK,MÜZİK,FREKANS,ANTEN,YAYIM
188,AĞAÇ,YAPRAK,GÖVDE,DAL,ORMAN,DOĞA
189,SOĞAN,SEBZE,AĞLAMAK,KESMEK,KAT,MUTFAK
190,OYUNCAK,YUMUŞAK,ÇOCUK,OYUNCAK,AYI,KUMAŞ
191,UÇURTMA,UÇMAK,RÜZGAR,İP,GÖKYÜZÜ,RENKLİ
192,SAKAL,YÜZ,ERKEK,TRAŞ,KIL,BÜYÜMEK
193,BAL,ARI,TATLI,KOVAN,KAHVALTI,SARI
194,ÇAN,ÇALMAK,KİLİSE,METAL,TİN,KULEF
195,ÇANTA,TAŞIMAK,KADIN,AKSESUAR,OMUZ,İÇERMEK
196,MUM,IŞIK,ALEV,MUM,YAKMAK,ROMANTİK
197,KAFES,PARMAKILIK,HAYVAN,KAPATMAK,HAPİS,KUŞ
198,SİREN,ACİL,AMBULANS,POLİS,SES,ALARM
199,ÇİMEN,OT,YEŞİL,ALAN,ÇİÇEK,DOĞA
200,ROKA,SALATA,YEŞİL,ACI,YAPRAK,SEBZE
201,TERLİK,YAZ,AYAK,DENİZ,PLAJ,TERLİK
202,BUZ,SOĞUK,SU,KÜPLER,DONMUŞ,BOZUZ
203,DİZ,BACAK,EKLEM,AĞRI,BÜKMEK,VÜCUT
204,TAPA,ŞİŞE,KAPAMAK,AÇMAK,MANTAR,KONTEYNER
205,HALI,ZEMİN,DEKOR,YUMUŞAK,TEMİZLEMEK,RENKLİ
206,KURDELE,HEDİYE,PAKET,KUMAŞ,FIYONK,SARMAK
207,CEVİZ,MEYVE,KABUK,KURU,AĞAÇ,KIRMAK
208,PAMUK,YUMUŞAK,KUMAŞ,BEYAZ,BİTKİ,DOĞAL
209,MÜCEVHER,DEĞERLI,ALTIN,ELMAS,TAKMAK,PARLAK
210,DALGA,DENİZ,SU,SÖRF,HAREKET,PLAJ
211,SUŞİ,JAPON,PİRİNÇ,BALIK,ÇİĞ,ÇUBUK
212,YAPRAK,AĞAÇ,YEŞİL,SONBAHAR,DÜŞMEK,BİTKİ
213,JILET,SAKAL,KESMEK,BIÇAK,TRAŞ,KIL
214,UĞURBÖCEĞI,BÖCEK,KIRMIZI,NOKTA,ŞANS,KÜÇÜK
215,FOSİL,ESKİ,DİNOZOR,KAZI,TARİH,TAŞ
216,YARAİZİ,YARA,DERİ,İZ,KALİCİ,İYİLEŞMİŞ
217,SU,BIRIKINTI,YAĞMUR,TOPRAK,ISLAK,ATLAMAK
218,KOLYE,MÜCEVHER,BOYUN,KOLYE,ZİNCİR,TAKMAK
219,MIKNATISDOĞAL,ÇEKİM,BUZDOLABI,DEMİR,YAPIŞTIRMAK
220,IŞIK,YOL,KIRMIZI,YEŞİL,TRAFİK,GEÇMEK
221,ASMA,KİLİT,KAPATMAK,ANAHTAR,GÜVENLİK,METAL,ZİNCİR
222,BIYIK,YÜZ,ERKEK,DUDAK,KIL,TRAŞ
223,MUZ,MEYVE,SARI,KABUK,MAYMUN,TROPİK
224,GİTAR,ENSTRÜMAN,ÇALMAK,TEL,MÜZİK,AKUSTİK
225,KUTU,KONTEYNER,KARTON,SAKLAMAK,HEDİYE,AÇMAK
226,DONUT,TATLI,DELİK,KAPLAMAkar,ÇİKOLATA
227,ZENCEFİL,BAHARAT,ACI,KÖK,AROMA,MUTFAK
228,ŞIMŞEK,FIRTINA,GÖKYÜZÜ,ELEKTRIK,ÇAKMA,GÖKGÜRÜLTÜSÜ
229,DEV,BÜYÜK,DEVASA,MASAL,YÜKSEKLİK,KOCAMAN
230,KAZA,DENİZ,GEMİ,BATMAK,ADA,KURTULAN
231,TORNAVIDA,VİDA,VİDALAMAK,ALET,SAP,TAMIR
232,ÖNLÜK,MUTFAK,PİŞİRMEK,KORUMAK,GİYİM,ŞEF
233,YAPRAK,ÇİÇEK,RENKLİ,GÜL,NAZİK,AÇMAK
234,ÇEŞMEstanbul,MEYDAN,FISKIYE,BOZUK,DİLEK
235,KALE,ORTAÇAĞ,KULE,ASİLZADE,HENDEK,TAŞ
236,VANTILATÖR,YAZ,HAVA,SEP,KANAT,SICAK
237,YUVA,KUŞ,YUMURTA,DAL,AĞAÇ,YAPMAK
238,KONFETI,KUTLAMA,RENKLİ,ATMAK,KARNAVAL,KAĞIT
239,KEMİK,İSKELET,KÖPEK,VÜCUT,KIRIK,SERT
240,MERHEM,KREM,UYGULAMAK,DERİ,İLAÇ,TÜP
241,KUKLA,BEBEK,GÖSTERI,İP,KUKLA,AHŞAP
242,ÇEKİRGE,BÖCEK,ZYPLAMAK,YEŞİL,BACAK,ÇİM
243,SINIR,ÜLKE,ULUS,SINIR,PASAPORT,BÖLMEK
244,KASIRKASIDİKA,RÜZGAR,TAHRIBAT,TROPİK,SİKLON
245,MEZARLONa,MEZAR,ÖLÜLER,MEZARTAŞI,CENAZE,MERHUM
246,BIÇAK,KESMEK,AĞIZ,MUTFAK,BİLEK,ÇATAL
247,SÖĞÜT,AĞAÇ,AĞLAYAN,DALLAR,SU,UZUN
248,KÜRK,HAYVAN,PALTO,TÜY,SICAK,YUMUŞAK
249,KİRPİ,HAYVAN,DİKENLER,BATICI,KÜÇÜK,ORMAN
250,ŞELALE,SU,DÜŞMEK,NEHİR,YÜKSEKLİK,DOĞA
251,HELİKOPTER,UÇMAK,PALLER,PİLOT,GÖKYÜZÜ,İNİŞ
252,ÇİZGİ ROMAN,ÇİZİM,DİYALOG,HİKAYE,BALON,KARELER
253,MUMYA,MISIR,SARGILAR,FİRAVUN,ANTİK,MEZAR
254,RENDE,PEYNİR,MUTFAK,METAL,DELİKLER,PARÇALAMAK
255,PİYANO,ENSTRÜMAN,TUŞLAR,MÜZİK,ÇALMAK,BEYAZ
256,MERCAN,DENİZ,MERCAN KAYALIĞI,OKYANUS,KIRMIZI,DENİZEL
257,BAHARİYE,BANYO,DUŞ,KURULAMAK,SABAHLIK,SÜNGER
258,TROMPET,ENSTRÜMAN,ÜFLEMELİ,BAKIR,ÇALMAK,CAZ
259,YABAN MERSİNİ,MEYVE,ORMAN,MAVİ,KÜÇÜK,TATLI
260,HAVAKİ,DİNLENMEK,AĞAÇLAR,SALLANMAK,RAHATLAMA,TATİL
261,MİNDER,YOGA,JİMNASTİK,EGZERSİZLER,SPOR SALONU,ZEMİN
262,YUNUS,DENİZ,MEMELİ,YÜZMEK,ZEKİ,SU
263,PUL,MEKTUP,POSTA,KOLEKSİYON,PULLAMA,NADİR
264,ÇİZME,YAĞMUR,AYAKKABI,AYAKLAR,GİYMEK,KIŞ
265,PALYAÇO,SİRK,BURUN,KIRMIZI,MAKYAJLI,EĞLENCELİ
266,TAHTA,OKUL,TEBEŞİR,YAZMAK,SİYAH,ÖĞRETMEN
267,REÇEL,TATLI,MEYVE,KAHVALTI,KAVANOZ,EKMEK
268,KİŞNİŞ,BAHARAT,MUTFAK,TOHUMLAR,AROMA,ETNİK
269,YAPBOZ,PARÇALAR,GEÇME,TAMAMLAMAK,OYUN,GÖRÜNTÜ
270,KALKAN,KORUMAK,SAVAŞÇI,SAVUNMA,SAVAŞ,SİLAH
271,KAYDIRAK,ÇOCUKLAR,PARK,OYNAMAK,İNİŞ,EĞLENCE
272,YENGEÇ,DENİZ,KISKAC,KUM,YÜRÜMEK,KABUKLU
273,ASKILIK,ASMAK,ELBİSELER,KIYAFET,DOLAP,ASKILI
274,CAN YELEĞİ,DENİZ,YÜZMEK,HAVUZ,GÜVENLİK,HALKA
275,MANDALİNA,MEYVE,TURUNÇGİL,KABUK,DİLİMLER,TURUNCU
276,PUSULA,YÖN,KUZEY,SEYİR ETMEK,MANYETİK,YÖN BULMA
277,AĞUSTOS BÖCEĞİ,BÖCEK,YAZ,GÜRÜLTÜ,ŞARKI,AĞAÇ
278,PENGUİN,BUZ,ANTARKTİKA,BEYAZ,SİYAH,KUŞ
279,KLASÖR,EVRAKLAR,OKUL,İÇİNE ALMAK,KAĞITLAR,OFİS
280,AYNA,YANSIMA,GÖRÜNTÜ,BAKMAK,CAM,DUVAR
281,BOYA,RENK,BOYAMAK,DUVAR,FIRÇA,KOVA
282,AYAKLI LAMBA,LAMBA,IŞIK,OTURMA ODASI,AYDINLATMAK,UZUN
283,SOFRA ÖRTÜSÜ,MASA,ÖRTMEK,KUMAŞ,YEMEK,LEKE
284,FİL,BÜYÜK,HORTUM,DIŞLER,HAYVAN,GRİ
285,SAPAN,ATMAK,TAŞLAR,LASTİK,NİŞAN,FIRLATMAK
286,SALYANGOZ,YAVAŞ,KABUK,SALYA,BOYNUZ,BAHÇE
287,TÜY,KUŞ,HAFİF,TELEK,YUMUŞAK,UÇUCU
288,İNCİ,TAKILAR,KOLYE,BEYAZLAR,İSTİRİDYE,DEĞERLİ
289,MİKROSKOP,BÜYÜTMEK,BİLİM,LABORATUVAR,MERCEK,KÜÇÜK
290,BALON,ŞİŞİRMEK,HAVA,RENKLİ,PARTİ,PATLAMAK
291,SAHNE,TİYATRO,GÖSTERİ,OYUNCULAR,OYNAMAK,SEYİRCİ
292,KANGURU,AVUSTRALYA,ZIPLAMAK,KESELİ,HAYVAN,KUYRUK
293,PİKNİK,ÇİMENLİK,YEMEK,AÇIK HAVA,BATTANİYE,SEPET
294,PARŞÖMEN,ANTİK,YAZMAK,KAĞIT,RULO,DİPLOMA
295,PALET,YÜZMEK,DENİZ,AYAKLAR,DALGIÇ,DALIŞ
296,ELDİVEN,ELLER,KIŞ,SOĞUK,PARMAKLAR,KORUMAK
297,REN GEYİĞİ,NOEL,NOEL BABA,KIZAK,BOYNUZLAR,KUTUP
298,MASKE,YÜZ,SAKLAMAK,KARNAVAL,ÖRTMEK,KOSTÜM
299,FENER,IŞIK,KARANLIK,ALEV,AYDINLATMAK,KAMPLAMA
300,TİLKİ,KURNAZ,KIRMIZI,KUYRUK,HAYVAN,ORMAN
301,MOZAİK,PARÇALAR,SANAT,TESSERAE,RENKLİ,GÖRÜNTÜ
302,TEKNE,DENİZ,SEYİR ETMEK,YELKEN,SU,LİMAN
303,TROMBON,ENSTRÜMAN,ÜFLEMELİ,BAKIR,ORKESTRA,ÇALMAK
304,ATLI KARINCA,ÇOCUKLAR,DÖNMEK,ATLAR,PARK,EĞLENCE
305,KUM SAATİ,ZAMAN,KUM,AKMAK,ÖLÇMEK,CAM
306,SAUNA,SICAK,TERLEMEK,BUHAR,RAHATLAMA,AHŞAP
307,DİNOZOR,SOYU TÜKENMİŞ,TARİH ÖNCESİ,BÜYÜK,SÜRÜNGEN,FOSİL
308,ŞİŞE AÇACAĞI,ŞARAP,AÇMAK,ŞİŞE,MANTAR,ALET
309,PARAŞÜT,ATLAMAK,HAVA,GÖKYÜZÜ,DÜŞMEK,UÇMAK
310,VANTUZ,YAPIŞMAK,EMMEK,LASTİK,VAKUM,BANYO
311,ATEŞ BÖCEĞİ,BÖCEK,IŞIK,GECE,PARLAK,YAZ
312,PİRİNÇ TARLASI,PİRİNÇ,SU,ALAN,YETİŞTİRMEK,DOĞU
313,ÜRPERME,SOĞUK,KORKU,TİTREMEK,CİLT,HİS
314,DUPLEX KAĞIT,DUVAR,KAĞIT,DECORE ETMEK,EV,DESEN
315,KALAMAR,DENİZ,DOKUNGAÇLAR,YUMUŞAKÇA,MÜREKKEP,BALIK
316,KAplumbağa,YAVAŞ,KABUK,SÜRÜNGEN,UZUN ÖMÜRLÜ,DENİZ
317,DÜNYA KÜRESİ,DÜNYA,COĞRAFYA,KITALAR,KÜRE,DÖNEN
318,CONFETİ,PARTİ,RENKLİ,ATMAK,KAĞIT,KARNAVAL
319,MAÇA,KAĞIT,OYUN,SEMBOL,SİYAH,POKER
320,FAYANS,BANYO,ZEMİN,SERAMİK,DUVAR,KAplama
321,DÜĞME,BASMAK,AYGIT,ETKİNLEŞTİRMEK,DÜĞME,PARMAK
